rating,review
1,very bad product it hangs frequently
1,i couldnt wait to get this top in the mail since they didnt have it at my local retailer but i was so disappointed in both the quality and fit the white is completely seethru i cant believe how sheer the material is especially for the price even as the shirt is lying down i can see through both layers of it the fit runs small and short
1,i bought a pair of these a month ago and first time i washed them they came out with light spots all down the leg i figured i did something wrong so i bought another pair in the same color and one in sage just washed both pairs according to care instructions no spills stain remover or anything but detergent and both came out with light spots all down the leg very sad to have wasted all that money
1,after reading the previous review i was pretty confident in ordering this dress it arrived in the mail today and i was so disappointed first of all its huge the medium was way too big on me and im never a small at retailer i even considered ordering the large in this my normal size at retailer second the colors are not as vibrant as in the photo and the fabric felt cheap finally it just looked like i went to hawaii and bought a drab dress there that didnt fit right
1,very bad product battery drains out in minutes raised a complaint for replacement no response for days only dates given for resolution never ever buy this third class product
1,top is completely see through i cant imagine if it were to get wet what it would look like it is a cute design but not practical at all
1,dont be fooled by the photos online the color is a bright baby blue not pale blue its a beautifully designed dress however the material is so bulky and heavy its so unflattering i was afraid to try it on and my fears came true this dress just hung on me and pulled me down i wanted so much to love it but i returned it
1,as a tim burton and the addams family fan i was so excited for it and i am so disappointed by this show where is the gothic icon morticia addams dark humor where is the romantic gomez addams where was tim burton in it i mean beetlejuice edward scissorhands big fish how come it is his work i mean after more than years its not even half as good as beetlejuice where is tim burtons set design i felt like it was supposed to be a thriller but its not thrilling at all actors none of them are even as good as any actor in any other tim burton movies if you read it until here you know that i dont recommend it at all
1,dont buy the product went to blur just after starting in few seconds
1,i expected this episode would get lower ratings than the first two eps primarily thanks to knuckledragging homophobes passing off their prejudice as insightful commentary on the cons of straying too far from the source material or some other garbage excuse for why their bigotry is preventing them from enjoying one of the best episodes to date one of the best episodes ive seen on television for awhile some of the absurdly low reviews claimed this episode was just a filler or this didnt happen in the game or not enough action and zombies where r all the zombies for the love of godyou muppets rating this masterpiece of an episode with a pitiful are the zombies thats where the freaking zombies are a video game is a video game and a television show is a television show these are both drastically different storytelling mediums a lot of folks are missing the point of an adaptation the shows writers and creators have done an impeccably superb job of taking a story from one medium and turning it into this masterpiece were seeing unfold here episode surpasses all my expectations for what strong world building theme building character building should look likewere here to explore all the facets of humanity including love and what that looks like in a dystopian wasteland the writers are giving us the content from the video game yesbut theyre also giving us so much more this show is what television as a medium should strive fortheyre doing what so few have managed to achieve this show is what storytelling is all about if you just want a show about zombies and action and nothing else yawni dunno dudes maybe this show and its more nuanced mature themes just isnt for you
1,i tried on an xs and it was boxyroomy in the torso and the pocket on the wristforearm area made my arm look too bulky when i rolled the sleeves up like the model pictured i love the idea of a relaxed fit cropped leather jacket in a versatile taupe color but when i tried this one on in person it took me back to my childhood i used to help my dad wash his cars when i was a kid and he used a leather chamois shammy for short that was awesome for soaking up water and thats what it felt lik
1,ordered the biggest size available the large the arms are so tight i couldnt get it on looked like it may have fit in the body so i dont understand why so constricting in the arms i dont have big arms either fabric is thin but the color is pretty cant recommend id pass on this one
1,i really loved the way this shirt looked on me its forgiving and flattering and really lightweight the fabric however couldnt even withstand half a days wear without snagging times and developing a hole right in the center i have no idea how this happened as i wasnt wearing or near anything that could have pulled at it such a shame this could have been a staple wardrobe piece for me
1,super product thanks to flipkart
1,within a day got blue screen error even in trouble shooting didnt detecting hardisk it might me harddisk issue i dont recommend this laptop issue not resolved just kept under observation for days if again issue raise then then we give the effective certification
