rating,review
1,battery is draining too fast without any use
1,camera is not working leptop si hoting
1,please dont buy after months its not working
1,laptop heat after use mints some kye are not working battery backup is not god
1,very poor performance
1,produc is good but after one month get disturbed before use
1,it is worst laptop in centuryperformance battery backup camera all are worst within a minute its started heating laptop is better than this laptop
1,value of money
1,to bad leptop
1,issues coming after days only regarding software
1,all keyboards are not working
1,i purchased this laptop and it is not opening after charging for a long time zero customer service provided by medium flipkart
1,in months it started showing issues
1,negetive reviews are deleting again i am saying its worst motherboard gone after one month it has only been used a few times and also poor service
1,so bad product its key board are useless not working good
1,cannot even run valorant
1,just looking good working the worstestits like a toy for kids not for workingtotally waste of money
1,bad laptop
1,its very bad product too bad days ago its completely not working worst item
1,opening lid having some play issue when you open on holding on your hands not on table i think on long terms it will become the very big issue may be its hinge totally freebroken
1,this is totally very bad product you can take anyone
1,ms office ledu laptop chala hang avuthundhi battery performance slowvest of money laptop size small totaly vest of money
1,one of the worst laptop dont buy seeing the images
1,first of all no ms office you have to purchase it sound speaker low only good in headphone software speed slow and now i noticed keypad touchpad not working
1,not pree instead windows
1,great performance best looking
1,this device is not compatible with the latest windows h update shame
1,flipkart has absolutely scammed me the laptop is not charging the fingerprint is not working the battery life is absolutely poor they have sent a defected piece and they are not even helping worst experience ever please do not buy
1,display complaint
1,very very bad product do not buy anyone
1,ms office not inbuilt flipkart says contact with lenovo and lenovo says contact flipkart heating is too much product hangs too much
1,the worst product not expected this kind of product from flipkart fully disappointing this product kindly help me out
1,very good quality laptop i like it this product
1,not good product audio video very bad over all do not try about it
1,the product which i order for new brand but the merchant are sailing refurbished lap just adding outfit with new parts but the interior and displays are not that much quality and efficient i really felt it was not worth in purchase through flipkart
1,effective remaining warranty in hp web site is showing as only months and days
1,average quality
1,there are few keys are not working dont buy this product
1,in our laptop wifi is connected but internet not work no any website open laptop have written they give antivirus for some times but there is no already antivirus
1,day one heat issue problem is there i do not recommend this laptop
1,within a day got blue screen error even in trouble shooting didnt detecting hardisk it might me harddisk issue i dont recommend this laptop issue not resolved just kept under observation for days if again issue raise then then we give the effective certification
1,dont buy this productbattery life is very badplease dont buy it is waste of money and it is also overprice
1,laptop is getting heat after mins so much heat is coming
1,no good
1,this is extremely slow waste of money dont buy it
1,display resolution is very bad no eye comforta
