rating,review
1,this has to be the worst recipe ever what a waste of good food in a poorly contrived meal is there a way to get my money back for all the fresh shrimp i wasted going back to the real recipes of the south
1,way to watery
1,this was a big disappointment all i could taste was the flour so anyone that makes this recipe should use less flour i might make this again but would defintely not use tbs of flour i think you need to experiment with this recipe to come up with the correct measurements i did go ahead and serve this but threw out the remainder
1,this was gross too much flouryuck
1,the description says maybe its the cream cheese where is the cream cheese in the recipe ingredients it says sour cream and whipping cream not cream cheese
1,i do not recommend this recipe the cooking times are way off and there was so much juice in the pie i had to dump most of the juice out
1,my pie turned out beautiful and then i cut into it full of liquid and overly sweet such a disappointment
1,this was terrible it looked good when i took it out of the oven and when i cut into it a ton of liquid came out i was so excited to make the pie and ended up just throwing it away would not recommend
1,the pie is tooooooo sweet use less sugar
1,this isnt pie this is soup i dont know if the creator forgot to add a step or what but my finished product was more liquid than apple if this is grandmas recipe she must have had soft teeth recipe should be removed
1,i love your recipes but wasnt a crazy about this on
1,worst apple pie filling recipe ever i followed the instructions exactly and after an hour of cooling i cut the first piece i had to drain more than a cup of liquid out of it im so upset flavor is also lacking i cannot tell you how disappointed i am with this recipe
1,i make corn pudding with fresh corn cut off the cob i have no use for canned crap
1,enchiladas are made with corn tortillas not flour tortillas this is a burrito
1,if you have ever traveled to mexico you will not find a flour tortilla thus enchiladas are made with corn tortillas not flour that is why some reviewers say they get soggy
1,enchiladas are made with corn tortillas
1,one star because the directions say to use butter butter is not in the ingredients list except for the glaze the directions are incomplete
1,this recipe claims the prep is mins it has been over hour and mins and i have only managed to chop my potatoes make the gravy which wasnt enough to cover my meat so ill be making another batch and cook pork chop will never make again i only made pork chops because i was so hunrgry and felt like passing out didnt have the energy to make the other chops it took hour and mins to bake on for an hour then for mins the flavor was delicious og the gravy i added some garlic in it an my potatoes were perfect but my chops were dry tasting my grandma used to bake her chops with potatoes and i was craving it but this is definently not my grandmas way of making it her chops were very juicy and delicious and the gravy was more liquid like but she is passed so the recipe is still a mystery but this helped curbed that craving i do suggest not adding salt to this dish because the chicken broth already has alot of salt in it
1,pim sorry the one star is all about the flour i am actually mad at myself as i should have known better making this recipe the flour should have been added with the onions and mushrooms and cooked all i could taste in the final product was t of raw flour it ruined the soup for me and i had to dump it as did one of the other reviewers i am surprised that your daughter in law who is a gourmet cook didnt know this but maybe something got lost in translation i am posting this not to be mean but to suggest that this will be a good soup if you cook that flourppjanep
1,this was terrible i followed the recipe exactly it tasted fine until i added the sour cream and whipping cream then it turned into a thin white flavorless soup do not bother
1,my husband and i didnt like it because of the flour tortillas should use corn tortillas he thought bottom tortillas were hard from the baking i had leftovers next day and the tortillas were mushy pretty gross also it bubbled over onto the bottom of my oven the last minutes uncovered in an x pyrex
1,although this sounds good to some it is not by any means our favourite pork chop recipe ours is still from the applewood smoker on the deck bbqd or smoked chops are the absolute best breaded with spices and panko egg wash flour etc is the next done the way in this recipe they become a little too tough and relatively tasteless definitely will not make this one
1,lasagna made with cottage cheese disgusting lasagna is made with ricotta cheese
1,i love so many of the recipes posted on taste of home but this is not one i would give it a on taste test but the biggest problem is what the slow cooker does to the noodles the noodles are so overcooked you cannot hardly tell what is sauce and what is noodle i like a firmer noodle i also cut the cooking time down an hour but still no better did anyone else have this problem i might try it again but cook in the oven
1,i did not care for this at all dry and not flavorful maybe because i used a bigger crock pot then the quart i did everyhting else as the recipe said only cooked for hours i prefer the oven baked version sorry
1,did not care for i would much rather make mine in the oven
1,did not care for this recipe lasagna was very juicy also to much salt prefer a baked version
1,wish i had read more reviews it was awful i baked it minutes longer than indicated and still the apples are not cooked the filling is liquid i used a mix of honeycrisp and granny smith ive been baking for years but am looking for a no fail apple pie it was a beautiful pie unfortunately it was inedible a huge waste of an afternoon
