Rating,review
1,cute but not addictive
1,beautiful promises very pretty but returned twice and always defective after a few days she stops constantly damage
1,the otter works only seconds and stops i think to return the product
1,month after using the otter breathing already doesnt work and my daughter doesnt sleep without this function lost
1,received product already broken at onoff
1,to change the way you have to disassemble it take off etc with what it entails that the girl wakes up
1,its sad that it doesnt work
1,the week i buy it its been damaged its not going to music
1,already the nd attempt unfortunately both otters have a wobble contact or somewhere the electronics spins if you move the otter it just goes out or he just stops the work without any action before the actual minutes so for our lütte a pure fall although the idea is great too bad
1,i ordered this article for my baby it was born on january and it doesnt work anymore the otters breathing mechanism blocks and stops music and light we have to open the rear scratch and press the music behind so that it can work without breathing what a pity yet the idea is nice the otter is cute and the sounds are pleasant
1,hello i dont understand the waste my son has a problem she shuts down alone after a few seconds
1,actually a nice idea the functions are very nice and reassuring our daughter months found him greatnow the big hook comes he does not work any more after a short time always goes off on his own and can then no longer be switched onhe was returned and ordered elsewhere but also the second one there was the same problem also this was returned and we dont want any more battery change supplied batteries are probably only intended for demo purposes in the shop helped nothing at all
1,our daughter adopted it right away and the otter served as a transitional object to succeed in falling asleep alone however it no longer works after a month we will exchange it but in view of the comments with a star it seems rather recurring and it is a shame
1,does not work more than seconds very disappointed
1,very disappointed at the start great i bought one and we offered another one for my binoculars they love except that the mechanism no longer works after a month and the two i cant send it back because its too late purchased in advance and i cant find the contact of the manufacturer
1,shipping as well as well top but was very disappointed when i tried the alone in demo mode only sec music with rushing hacking the movement of the belly and the loud mechanic sounds that rob a nerves rather than relax and calm down with a long buzzing at the end went backno recommendation to buy
1,purchased the it already doesnt work despite battery changes it is now impossible to have breath and music at the same time
1,very disappointed the article no longer works after month of usedamage because the music was relaxing vrm for baby
1,the engine of the breathing movement just way too loudthat cant be right could a defective model be sent also that the slumber otter was only packed in a bag without a carton seemed to me unscrupulous
1,actually disappointed as kept this as a gift for my new baby boy for months and got out the box and doesnt stay on nearly long enough cant return either as window has passed which pretty unfair really only weeks as was keeping the item to the side for a gift for when he was born and just really disappointed
1,i was not able to test the white noises and the breathing modewhatever happens the plush is too hard on the belly which is normal since it houses the whole sound systemim glad to see what it was like to see the praises i had but glad to have returned it too
1,very disappointed with this product immediately delivered first bad surprise the product was not new then when starting it it stops after or seconds and the sounds are accompanied by a fairly pronounced mechanical noise
1,only works for seconds at a time terrible
1,the toy stopped working after week we even bought batteries in case or but the toy just doesnt want to walk anymore
1,first delivery breath movements dont work second delivery engine is so loud i dont want to do that to my childunfortunately i was really looking forward to it
1,soon there will be no electricity
1,the volume is so low even on the loudest setting even if you hold it to your ear you cant listen the breathing heartbeat sounds it was a gift to someone and unfortunately i cant return it now waste of money its used just as a soft toy now could have just bought a soft toy and would have cost much less
1,the otter is at first glance very sweet but the electronic part is totally thick and noticeable so that the otter is hardly suitable for cuddles besides after weeks the electronics broke directly with us nothing could be played off a cheekyness for such a nameable manufacturer because this happened not only with this otter but even with the reordering
