rating,review
1,delivered days late and damaged impossible to contact a human being to query given up avoid as cheap but not worth it
1,an update on my previous review re my care plan refund i had a reply from ryan to say refunds with cheques can take up to days and if over this please contact us again it was already over days when he replied so why didnt he deal with it there and then it is now days since i requested the refund which should never have been deducted from my account in the first place so where is my cheque having been told the cheque number and the fact it was in the post i am even more annoyed that it hasnt arrived so i phoned again this morning and explained it all again to someone who then went off to ask someone else and left me hanging on the phone for some considerable time thinking of how much these phone calls keep costing me trying to get a minimal amount of refund i hung up considering i cancelled the plan in good time not to have had my account debited in the first place i am not at all impressed with their customer service and obviously they do not value their customers as for sure i will never use them again and would never recommend them to anyone else if i dont receive my cheque in the next week i will be writing to bbcs programme watch dog
1,if no stars were available shell would get that for an abysmal service have been overcharged by kwh since april ignores the meter readings and photos i send but uses faulty smart meter readingscomplaint now with energy ombudsman but all shell has said is they will investigate how long do you need to put your error right months and no resolution with bills still showing wrong readings wish i could switch
1,now tv is good so long as you keep an eye on your bank account and my account on the app i had extra passes added without my knowledge kids pass i dont have kids in and hay u dont know what this is but was added in when i noticed in may they quickly refunded months but insisted i ordered the channels and that they sent emails to confirm i checked my email history including junk and no emails were received i am now seeking help from ombudsman to retrieve my monies something around its theft in my book cancelled all passes as i dont trust them having my card details
1,i was told of requested collections failed and now only so sticking to covid changes so stuff those that dont do twitter or face book or have genuine reasons to want or need to paycollect unless you do store trips profit n tech changes before people even those with problems that i thought laws protected argos like way to many are
1,ordered a samsung zflip phone on november th for my wifes birthday on dec th tried contacting customer services times and now nov th still no contact or update on delivery not happy
1,cancelled the contract in advance but they failed to this from their end and keep sending me bills for over with added charges for late payment they have admitted to finding phone calls from myself cancelling the contract but are still trying to charge me spent hour minutes on the phone and they offered me a reduction for their mistake and i can see from other comments this has happened before no one seems to know what they are doing and they cant handle phone calls or carry out simple requests and expect me to pay for their mistake opened a complaint and this department are even worse said they couldnt find any phone calls but after speaking to people in one phone call because they are useless of them admitted to finding my phone calls on the system such a joke of a company expecting someone to pay for a mistake they have caused
1,if i could give stars i would these scum bags have taken just shy of k from my bank in days and cant explain why also say its a day refund my bill is a month never ever use these again stay away from vodafone all my direct debits have bounced and they wont compensate the fees
1,absolutely terrible service after i placed an order i never got a confirmation email my credit card got debited twice i have sent several emails without response trying to get my money back without success i think this site is a fraud
1,advertised mbps internet reality was intermittent mbps extremely poor customer service people i spoke to after waiting over minutes informed me they could not talk to me about my account im awaiting a phone call which probably wont happen
1,we definitely will not renew our contract i would not recommend virgin media to anyone
1,i was offered for my iphone rx but on sending it to mazuma was told there was a problem with the screen due to wear and tear and the offer was reduced to i asked for my phone to be returned to me i have since been offered and received for the phone which was deemed to be in perfect condition elsewhere
1,a week since i ordered and still no sign of my goods mind you as you use evri i suppose it was to be expected am now cancelling my order and claiming a refund never again
